category,icon_slug,size,style,file_name,relative_path,raw_url
Arrow Exit,arrow_exit,12,filled,ic_fluent_arrow_exit_12_filled.svg,Arrow Exit/SVG/ic_fluent_arrow_exit_12_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Arrow%20Exit/SVG/ic_fluent_arrow_exit_12_filled.svg
Arrow Exit,arrow_exit,12,regular,ic_fluent_arrow_exit_12_regular.svg,Arrow Exit/SVG/ic_fluent_arrow_exit_12_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Arrow%20Exit/SVG/ic_fluent_arrow_exit_12_regular.svg
Arrow Exit,arrow_exit,16,filled,ic_fluent_arrow_exit_16_filled.svg,Arrow Exit/SVG/ic_fluent_arrow_exit_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Arrow%20Exit/SVG/ic_fluent_arrow_exit_16_filled.svg
Arrow Exit,arrow_exit,16,regular,ic_fluent_arrow_exit_16_regular.svg,Arrow Exit/SVG/ic_fluent_arrow_exit_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Arrow%20Exit/SVG/ic_fluent_arrow_exit_16_regular.svg
Arrow Exit,arrow_exit,20,filled,ic_fluent_arrow_exit_20_filled.svg,Arrow Exit/SVG/ic_fluent_arrow_exit_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Arrow%20Exit/SVG/ic_fluent_arrow_exit_20_filled.svg
Arrow Exit,arrow_exit,20,regular,ic_fluent_arrow_exit_20_regular.svg,Arrow Exit/SVG/ic_fluent_arrow_exit_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Arrow%20Exit/SVG/ic_fluent_arrow_exit_20_regular.svg
Arrow Exit,arrow_exit,24,filled,ic_fluent_arrow_exit_24_filled.svg,Arrow Exit/SVG/ic_fluent_arrow_exit_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Arrow%20Exit/SVG/ic_fluent_arrow_exit_24_filled.svg
Arrow Exit,arrow_exit,24,regular,ic_fluent_arrow_exit_24_regular.svg,Arrow Exit/SVG/ic_fluent_arrow_exit_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Arrow%20Exit/SVG/ic_fluent_arrow_exit_24_regular.svg
Arrow Exit,arrow_exit,28,filled,ic_fluent_arrow_exit_28_filled.svg,Arrow Exit/SVG/ic_fluent_arrow_exit_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Arrow%20Exit/SVG/ic_fluent_arrow_exit_28_filled.svg
Arrow Exit,arrow_exit,28,regular,ic_fluent_arrow_exit_28_regular.svg,Arrow Exit/SVG/ic_fluent_arrow_exit_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Arrow%20Exit/SVG/ic_fluent_arrow_exit_28_regular.svg
Arrow Exit,arrow_exit,32,filled,ic_fluent_arrow_exit_32_filled.svg,Arrow Exit/SVG/ic_fluent_arrow_exit_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Arrow%20Exit/SVG/ic_fluent_arrow_exit_32_filled.svg
Arrow Exit,arrow_exit,32,regular,ic_fluent_arrow_exit_32_regular.svg,Arrow Exit/SVG/ic_fluent_arrow_exit_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Arrow%20Exit/SVG/ic_fluent_arrow_exit_32_regular.svg
Arrow Exit,arrow_exit,48,filled,ic_fluent_arrow_exit_48_filled.svg,Arrow Exit/SVG/ic_fluent_arrow_exit_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Arrow%20Exit/SVG/ic_fluent_arrow_exit_48_filled.svg
Arrow Exit,arrow_exit,48,regular,ic_fluent_arrow_exit_48_regular.svg,Arrow Exit/SVG/ic_fluent_arrow_exit_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Arrow%20Exit/SVG/ic_fluent_arrow_exit_48_regular.svg
