category,icon_slug,size,style,file_name,relative_path,raw_url
Calendar LTR,calendar_ltr,12,filled,ic_fluent_calendar_ltr_12_filled.svg,Calendar LTR/SVG/ic_fluent_calendar_ltr_12_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Calendar%20LTR/SVG/ic_fluent_calendar_ltr_12_filled.svg
Calendar LTR,calendar_ltr,12,regular,ic_fluent_calendar_ltr_12_regular.svg,Calendar LTR/SVG/ic_fluent_calendar_ltr_12_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Calendar%20LTR/SVG/ic_fluent_calendar_ltr_12_regular.svg
Calendar LTR,calendar_ltr,16,filled,ic_fluent_calendar_ltr_16_filled.svg,Calendar LTR/SVG/ic_fluent_calendar_ltr_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Calendar%20LTR/SVG/ic_fluent_calendar_ltr_16_filled.svg
Calendar LTR,calendar_ltr,16,regular,ic_fluent_calendar_ltr_16_regular.svg,Calendar LTR/SVG/ic_fluent_calendar_ltr_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Calendar%20LTR/SVG/ic_fluent_calendar_ltr_16_regular.svg
Calendar LTR,calendar_ltr,20,filled,ic_fluent_calendar_ltr_20_filled.svg,Calendar LTR/SVG/ic_fluent_calendar_ltr_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Calendar%20LTR/SVG/ic_fluent_calendar_ltr_20_filled.svg
Calendar LTR,calendar_ltr,20,regular,ic_fluent_calendar_ltr_20_regular.svg,Calendar LTR/SVG/ic_fluent_calendar_ltr_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Calendar%20LTR/SVG/ic_fluent_calendar_ltr_20_regular.svg
Calendar LTR,calendar_ltr,24,filled,ic_fluent_calendar_ltr_24_filled.svg,Calendar LTR/SVG/ic_fluent_calendar_ltr_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Calendar%20LTR/SVG/ic_fluent_calendar_ltr_24_filled.svg
Calendar LTR,calendar_ltr,24,regular,ic_fluent_calendar_ltr_24_regular.svg,Calendar LTR/SVG/ic_fluent_calendar_ltr_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Calendar%20LTR/SVG/ic_fluent_calendar_ltr_24_regular.svg
Calendar LTR,calendar_ltr,28,filled,ic_fluent_calendar_ltr_28_filled.svg,Calendar LTR/SVG/ic_fluent_calendar_ltr_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Calendar%20LTR/SVG/ic_fluent_calendar_ltr_28_filled.svg
Calendar LTR,calendar_ltr,28,regular,ic_fluent_calendar_ltr_28_regular.svg,Calendar LTR/SVG/ic_fluent_calendar_ltr_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Calendar%20LTR/SVG/ic_fluent_calendar_ltr_28_regular.svg
Calendar LTR,calendar_ltr,32,filled,ic_fluent_calendar_ltr_32_filled.svg,Calendar LTR/SVG/ic_fluent_calendar_ltr_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Calendar%20LTR/SVG/ic_fluent_calendar_ltr_32_filled.svg
Calendar LTR,calendar_ltr,32,light,ic_fluent_calendar_ltr_32_light.svg,Calendar LTR/SVG/ic_fluent_calendar_ltr_32_light.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Calendar%20LTR/SVG/ic_fluent_calendar_ltr_32_light.svg
Calendar LTR,calendar_ltr,32,regular,ic_fluent_calendar_ltr_32_regular.svg,Calendar LTR/SVG/ic_fluent_calendar_ltr_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Calendar%20LTR/SVG/ic_fluent_calendar_ltr_32_regular.svg
Calendar LTR,calendar_ltr,48,filled,ic_fluent_calendar_ltr_48_filled.svg,Calendar LTR/SVG/ic_fluent_calendar_ltr_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Calendar%20LTR/SVG/ic_fluent_calendar_ltr_48_filled.svg
Calendar LTR,calendar_ltr,48,regular,ic_fluent_calendar_ltr_48_regular.svg,Calendar LTR/SVG/ic_fluent_calendar_ltr_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Calendar%20LTR/SVG/ic_fluent_calendar_ltr_48_regular.svg
