category,icon_slug,size,style,file_name,relative_path,raw_url
Contact Card Ribbon,contact_card_ribbon,16,filled,ic_fluent_contact_card_ribbon_16_filled.svg,Contact Card Ribbon/SVG/ic_fluent_contact_card_ribbon_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Contact%20Card%20Ribbon/SVG/ic_fluent_contact_card_ribbon_16_filled.svg
Contact Card Ribbon,contact_card_ribbon,16,regular,ic_fluent_contact_card_ribbon_16_regular.svg,Contact Card Ribbon/SVG/ic_fluent_contact_card_ribbon_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Contact%20Card%20Ribbon/SVG/ic_fluent_contact_card_ribbon_16_regular.svg
Contact Card Ribbon,contact_card_ribbon,20,filled,ic_fluent_contact_card_ribbon_20_filled.svg,Contact Card Ribbon/SVG/ic_fluent_contact_card_ribbon_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Contact%20Card%20Ribbon/SVG/ic_fluent_contact_card_ribbon_20_filled.svg
Contact Card Ribbon,contact_card_ribbon,20,regular,ic_fluent_contact_card_ribbon_20_regular.svg,Contact Card Ribbon/SVG/ic_fluent_contact_card_ribbon_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Contact%20Card%20Ribbon/SVG/ic_fluent_contact_card_ribbon_20_regular.svg
Contact Card Ribbon,contact_card_ribbon,24,filled,ic_fluent_contact_card_ribbon_24_filled.svg,Contact Card Ribbon/SVG/ic_fluent_contact_card_ribbon_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Contact%20Card%20Ribbon/SVG/ic_fluent_contact_card_ribbon_24_filled.svg
Contact Card Ribbon,contact_card_ribbon,24,regular,ic_fluent_contact_card_ribbon_24_regular.svg,Contact Card Ribbon/SVG/ic_fluent_contact_card_ribbon_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Contact%20Card%20Ribbon/SVG/ic_fluent_contact_card_ribbon_24_regular.svg
Contact Card Ribbon,contact_card_ribbon,28,filled,ic_fluent_contact_card_ribbon_28_filled.svg,Contact Card Ribbon/SVG/ic_fluent_contact_card_ribbon_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Contact%20Card%20Ribbon/SVG/ic_fluent_contact_card_ribbon_28_filled.svg
Contact Card Ribbon,contact_card_ribbon,28,regular,ic_fluent_contact_card_ribbon_28_regular.svg,Contact Card Ribbon/SVG/ic_fluent_contact_card_ribbon_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Contact%20Card%20Ribbon/SVG/ic_fluent_contact_card_ribbon_28_regular.svg
Contact Card Ribbon,contact_card_ribbon,32,filled,ic_fluent_contact_card_ribbon_32_filled.svg,Contact Card Ribbon/SVG/ic_fluent_contact_card_ribbon_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Contact%20Card%20Ribbon/SVG/ic_fluent_contact_card_ribbon_32_filled.svg
Contact Card Ribbon,contact_card_ribbon,32,regular,ic_fluent_contact_card_ribbon_32_regular.svg,Contact Card Ribbon/SVG/ic_fluent_contact_card_ribbon_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Contact%20Card%20Ribbon/SVG/ic_fluent_contact_card_ribbon_32_regular.svg
Contact Card Ribbon,contact_card_ribbon,48,filled,ic_fluent_contact_card_ribbon_48_filled.svg,Contact Card Ribbon/SVG/ic_fluent_contact_card_ribbon_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Contact%20Card%20Ribbon/SVG/ic_fluent_contact_card_ribbon_48_filled.svg
Contact Card Ribbon,contact_card_ribbon,48,regular,ic_fluent_contact_card_ribbon_48_regular.svg,Contact Card Ribbon/SVG/ic_fluent_contact_card_ribbon_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Contact%20Card%20Ribbon/SVG/ic_fluent_contact_card_ribbon_48_regular.svg
