category,icon_slug,size,style,file_name,relative_path,raw_url
Data Usage,data_usage,16,filled,ic_fluent_data_usage_16_filled.svg,Data Usage/SVG/ic_fluent_data_usage_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Data%20Usage/SVG/ic_fluent_data_usage_16_filled.svg
Data Usage,data_usage,16,regular,ic_fluent_data_usage_16_regular.svg,Data Usage/SVG/ic_fluent_data_usage_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Data%20Usage/SVG/ic_fluent_data_usage_16_regular.svg
Data Usage,data_usage,20,filled,ic_fluent_data_usage_20_filled.svg,Data Usage/SVG/ic_fluent_data_usage_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Data%20Usage/SVG/ic_fluent_data_usage_20_filled.svg
Data Usage,data_usage,20,regular,ic_fluent_data_usage_20_regular.svg,Data Usage/SVG/ic_fluent_data_usage_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Data%20Usage/SVG/ic_fluent_data_usage_20_regular.svg
Data Usage,data_usage,24,filled,ic_fluent_data_usage_24_filled.svg,Data Usage/SVG/ic_fluent_data_usage_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Data%20Usage/SVG/ic_fluent_data_usage_24_filled.svg
Data Usage,data_usage,24,regular,ic_fluent_data_usage_24_regular.svg,Data Usage/SVG/ic_fluent_data_usage_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Data%20Usage/SVG/ic_fluent_data_usage_24_regular.svg
Data Usage,data_usage,28,filled,ic_fluent_data_usage_28_filled.svg,Data Usage/SVG/ic_fluent_data_usage_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Data%20Usage/SVG/ic_fluent_data_usage_28_filled.svg
Data Usage,data_usage,28,regular,ic_fluent_data_usage_28_regular.svg,Data Usage/SVG/ic_fluent_data_usage_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Data%20Usage/SVG/ic_fluent_data_usage_28_regular.svg
Data Usage,data_usage,32,filled,ic_fluent_data_usage_32_filled.svg,Data Usage/SVG/ic_fluent_data_usage_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Data%20Usage/SVG/ic_fluent_data_usage_32_filled.svg
Data Usage,data_usage,32,regular,ic_fluent_data_usage_32_regular.svg,Data Usage/SVG/ic_fluent_data_usage_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Data%20Usage/SVG/ic_fluent_data_usage_32_regular.svg
Data Usage,data_usage,48,filled,ic_fluent_data_usage_48_filled.svg,Data Usage/SVG/ic_fluent_data_usage_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Data%20Usage/SVG/ic_fluent_data_usage_48_filled.svg
Data Usage,data_usage,48,regular,ic_fluent_data_usage_48_regular.svg,Data Usage/SVG/ic_fluent_data_usage_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Data%20Usage/SVG/ic_fluent_data_usage_48_regular.svg
