category,icon_slug,size,style,file_name,relative_path,raw_url
Image Multiple,image_multiple,16,filled,ic_fluent_image_multiple_16_filled.svg,Image Multiple/SVG/ic_fluent_image_multiple_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Multiple/SVG/ic_fluent_image_multiple_16_filled.svg
Image Multiple,image_multiple,16,regular,ic_fluent_image_multiple_16_regular.svg,Image Multiple/SVG/ic_fluent_image_multiple_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Multiple/SVG/ic_fluent_image_multiple_16_regular.svg
Image Multiple,image_multiple,20,filled,ic_fluent_image_multiple_20_filled.svg,Image Multiple/SVG/ic_fluent_image_multiple_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Multiple/SVG/ic_fluent_image_multiple_20_filled.svg
Image Multiple,image_multiple,20,regular,ic_fluent_image_multiple_20_regular.svg,Image Multiple/SVG/ic_fluent_image_multiple_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Multiple/SVG/ic_fluent_image_multiple_20_regular.svg
Image Multiple,image_multiple,24,filled,ic_fluent_image_multiple_24_filled.svg,Image Multiple/SVG/ic_fluent_image_multiple_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Multiple/SVG/ic_fluent_image_multiple_24_filled.svg
Image Multiple,image_multiple,24,regular,ic_fluent_image_multiple_24_regular.svg,Image Multiple/SVG/ic_fluent_image_multiple_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Multiple/SVG/ic_fluent_image_multiple_24_regular.svg
Image Multiple,image_multiple,28,filled,ic_fluent_image_multiple_28_filled.svg,Image Multiple/SVG/ic_fluent_image_multiple_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Multiple/SVG/ic_fluent_image_multiple_28_filled.svg
Image Multiple,image_multiple,28,regular,ic_fluent_image_multiple_28_regular.svg,Image Multiple/SVG/ic_fluent_image_multiple_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Multiple/SVG/ic_fluent_image_multiple_28_regular.svg
Image Multiple,image_multiple,32,filled,ic_fluent_image_multiple_32_filled.svg,Image Multiple/SVG/ic_fluent_image_multiple_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Multiple/SVG/ic_fluent_image_multiple_32_filled.svg
Image Multiple,image_multiple,32,regular,ic_fluent_image_multiple_32_regular.svg,Image Multiple/SVG/ic_fluent_image_multiple_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Multiple/SVG/ic_fluent_image_multiple_32_regular.svg
Image Multiple,image_multiple,48,filled,ic_fluent_image_multiple_48_filled.svg,Image Multiple/SVG/ic_fluent_image_multiple_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Multiple/SVG/ic_fluent_image_multiple_48_filled.svg
Image Multiple,image_multiple,48,regular,ic_fluent_image_multiple_48_regular.svg,Image Multiple/SVG/ic_fluent_image_multiple_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Multiple/SVG/ic_fluent_image_multiple_48_regular.svg
