category,icon_slug,size,style,file_name,relative_path,raw_url
Image Table,image_table,16,filled,ic_fluent_image_table_16_filled.svg,Image Table/SVG/ic_fluent_image_table_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Table/SVG/ic_fluent_image_table_16_filled.svg
Image Table,image_table,16,regular,ic_fluent_image_table_16_regular.svg,Image Table/SVG/ic_fluent_image_table_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Table/SVG/ic_fluent_image_table_16_regular.svg
Image Table,image_table,20,filled,ic_fluent_image_table_20_filled.svg,Image Table/SVG/ic_fluent_image_table_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Table/SVG/ic_fluent_image_table_20_filled.svg
Image Table,image_table,20,regular,ic_fluent_image_table_20_regular.svg,Image Table/SVG/ic_fluent_image_table_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Table/SVG/ic_fluent_image_table_20_regular.svg
Image Table,image_table,24,filled,ic_fluent_image_table_24_filled.svg,Image Table/SVG/ic_fluent_image_table_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Table/SVG/ic_fluent_image_table_24_filled.svg
Image Table,image_table,24,regular,ic_fluent_image_table_24_regular.svg,Image Table/SVG/ic_fluent_image_table_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Table/SVG/ic_fluent_image_table_24_regular.svg
Image Table,image_table,28,filled,ic_fluent_image_table_28_filled.svg,Image Table/SVG/ic_fluent_image_table_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Table/SVG/ic_fluent_image_table_28_filled.svg
Image Table,image_table,28,regular,ic_fluent_image_table_28_regular.svg,Image Table/SVG/ic_fluent_image_table_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Table/SVG/ic_fluent_image_table_28_regular.svg
Image Table,image_table,32,filled,ic_fluent_image_table_32_filled.svg,Image Table/SVG/ic_fluent_image_table_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Table/SVG/ic_fluent_image_table_32_filled.svg
Image Table,image_table,32,regular,ic_fluent_image_table_32_regular.svg,Image Table/SVG/ic_fluent_image_table_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Table/SVG/ic_fluent_image_table_32_regular.svg
Image Table,image_table,48,filled,ic_fluent_image_table_48_filled.svg,Image Table/SVG/ic_fluent_image_table_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Table/SVG/ic_fluent_image_table_48_filled.svg
Image Table,image_table,48,regular,ic_fluent_image_table_48_regular.svg,Image Table/SVG/ic_fluent_image_table_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Image%20Table/SVG/ic_fluent_image_table_48_regular.svg
