category,icon_slug,size,style,file_name,relative_path,raw_url
Link Person,link_person,16,filled,ic_fluent_link_person_16_filled.svg,Link Person/SVG/ic_fluent_link_person_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Link%20Person/SVG/ic_fluent_link_person_16_filled.svg
Link Person,link_person,16,regular,ic_fluent_link_person_16_regular.svg,Link Person/SVG/ic_fluent_link_person_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Link%20Person/SVG/ic_fluent_link_person_16_regular.svg
Link Person,link_person,20,filled,ic_fluent_link_person_20_filled.svg,Link Person/SVG/ic_fluent_link_person_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Link%20Person/SVG/ic_fluent_link_person_20_filled.svg
Link Person,link_person,20,regular,ic_fluent_link_person_20_regular.svg,Link Person/SVG/ic_fluent_link_person_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Link%20Person/SVG/ic_fluent_link_person_20_regular.svg
Link Person,link_person,24,filled,ic_fluent_link_person_24_filled.svg,Link Person/SVG/ic_fluent_link_person_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Link%20Person/SVG/ic_fluent_link_person_24_filled.svg
Link Person,link_person,24,regular,ic_fluent_link_person_24_regular.svg,Link Person/SVG/ic_fluent_link_person_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Link%20Person/SVG/ic_fluent_link_person_24_regular.svg
Link Person,link_person,32,filled,ic_fluent_link_person_32_filled.svg,Link Person/SVG/ic_fluent_link_person_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Link%20Person/SVG/ic_fluent_link_person_32_filled.svg
Link Person,link_person,32,regular,ic_fluent_link_person_32_regular.svg,Link Person/SVG/ic_fluent_link_person_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Link%20Person/SVG/ic_fluent_link_person_32_regular.svg
Link Person,link_person,48,filled,ic_fluent_link_person_48_filled.svg,Link Person/SVG/ic_fluent_link_person_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Link%20Person/SVG/ic_fluent_link_person_48_filled.svg
Link Person,link_person,48,regular,ic_fluent_link_person_48_regular.svg,Link Person/SVG/ic_fluent_link_person_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Link%20Person/SVG/ic_fluent_link_person_48_regular.svg
