category,icon_slug,size,style,file_name,relative_path,raw_url
Lock Closed Ribbon,lock_closed_ribbon,16,filled,ic_fluent_lock_closed_ribbon_16_filled.svg,Lock Closed Ribbon/SVG/ic_fluent_lock_closed_ribbon_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Lock%20Closed%20Ribbon/SVG/ic_fluent_lock_closed_ribbon_16_filled.svg
Lock Closed Ribbon,lock_closed_ribbon,16,regular,ic_fluent_lock_closed_ribbon_16_regular.svg,Lock Closed Ribbon/SVG/ic_fluent_lock_closed_ribbon_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Lock%20Closed%20Ribbon/SVG/ic_fluent_lock_closed_ribbon_16_regular.svg
Lock Closed Ribbon,lock_closed_ribbon,20,filled,ic_fluent_lock_closed_ribbon_20_filled.svg,Lock Closed Ribbon/SVG/ic_fluent_lock_closed_ribbon_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Lock%20Closed%20Ribbon/SVG/ic_fluent_lock_closed_ribbon_20_filled.svg
Lock Closed Ribbon,lock_closed_ribbon,20,regular,ic_fluent_lock_closed_ribbon_20_regular.svg,Lock Closed Ribbon/SVG/ic_fluent_lock_closed_ribbon_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Lock%20Closed%20Ribbon/SVG/ic_fluent_lock_closed_ribbon_20_regular.svg
Lock Closed Ribbon,lock_closed_ribbon,24,filled,ic_fluent_lock_closed_ribbon_24_filled.svg,Lock Closed Ribbon/SVG/ic_fluent_lock_closed_ribbon_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Lock%20Closed%20Ribbon/SVG/ic_fluent_lock_closed_ribbon_24_filled.svg
Lock Closed Ribbon,lock_closed_ribbon,24,regular,ic_fluent_lock_closed_ribbon_24_regular.svg,Lock Closed Ribbon/SVG/ic_fluent_lock_closed_ribbon_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Lock%20Closed%20Ribbon/SVG/ic_fluent_lock_closed_ribbon_24_regular.svg
Lock Closed Ribbon,lock_closed_ribbon,28,filled,ic_fluent_lock_closed_ribbon_28_filled.svg,Lock Closed Ribbon/SVG/ic_fluent_lock_closed_ribbon_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Lock%20Closed%20Ribbon/SVG/ic_fluent_lock_closed_ribbon_28_filled.svg
Lock Closed Ribbon,lock_closed_ribbon,28,regular,ic_fluent_lock_closed_ribbon_28_regular.svg,Lock Closed Ribbon/SVG/ic_fluent_lock_closed_ribbon_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Lock%20Closed%20Ribbon/SVG/ic_fluent_lock_closed_ribbon_28_regular.svg
Lock Closed Ribbon,lock_closed_ribbon,32,filled,ic_fluent_lock_closed_ribbon_32_filled.svg,Lock Closed Ribbon/SVG/ic_fluent_lock_closed_ribbon_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Lock%20Closed%20Ribbon/SVG/ic_fluent_lock_closed_ribbon_32_filled.svg
Lock Closed Ribbon,lock_closed_ribbon,32,regular,ic_fluent_lock_closed_ribbon_32_regular.svg,Lock Closed Ribbon/SVG/ic_fluent_lock_closed_ribbon_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Lock%20Closed%20Ribbon/SVG/ic_fluent_lock_closed_ribbon_32_regular.svg
Lock Closed Ribbon,lock_closed_ribbon,48,filled,ic_fluent_lock_closed_ribbon_48_filled.svg,Lock Closed Ribbon/SVG/ic_fluent_lock_closed_ribbon_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Lock%20Closed%20Ribbon/SVG/ic_fluent_lock_closed_ribbon_48_filled.svg
Lock Closed Ribbon,lock_closed_ribbon,48,regular,ic_fluent_lock_closed_ribbon_48_regular.svg,Lock Closed Ribbon/SVG/ic_fluent_lock_closed_ribbon_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Lock%20Closed%20Ribbon/SVG/ic_fluent_lock_closed_ribbon_48_regular.svg
