category,icon_slug,size,style,file_name,relative_path,raw_url
Megaphone,megaphone,12,filled,ic_fluent_megaphone_12_filled.svg,Megaphone/SVG/ic_fluent_megaphone_12_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Megaphone/SVG/ic_fluent_megaphone_12_filled.svg
Megaphone,megaphone,12,regular,ic_fluent_megaphone_12_regular.svg,Megaphone/SVG/ic_fluent_megaphone_12_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Megaphone/SVG/ic_fluent_megaphone_12_regular.svg
Megaphone,megaphone,16,filled,ic_fluent_megaphone_16_filled.svg,Megaphone/SVG/ic_fluent_megaphone_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Megaphone/SVG/ic_fluent_megaphone_16_filled.svg
Megaphone,megaphone,16,regular,ic_fluent_megaphone_16_regular.svg,Megaphone/SVG/ic_fluent_megaphone_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Megaphone/SVG/ic_fluent_megaphone_16_regular.svg
Megaphone,megaphone,20,filled,ic_fluent_megaphone_20_filled.svg,Megaphone/SVG/ic_fluent_megaphone_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Megaphone/SVG/ic_fluent_megaphone_20_filled.svg
Megaphone,megaphone,20,regular,ic_fluent_megaphone_20_regular.svg,Megaphone/SVG/ic_fluent_megaphone_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Megaphone/SVG/ic_fluent_megaphone_20_regular.svg
Megaphone,megaphone,24,filled,ic_fluent_megaphone_24_filled.svg,Megaphone/SVG/ic_fluent_megaphone_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Megaphone/SVG/ic_fluent_megaphone_24_filled.svg
Megaphone,megaphone,24,regular,ic_fluent_megaphone_24_regular.svg,Megaphone/SVG/ic_fluent_megaphone_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Megaphone/SVG/ic_fluent_megaphone_24_regular.svg
Megaphone,megaphone,28,filled,ic_fluent_megaphone_28_filled.svg,Megaphone/SVG/ic_fluent_megaphone_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Megaphone/SVG/ic_fluent_megaphone_28_filled.svg
Megaphone,megaphone,28,regular,ic_fluent_megaphone_28_regular.svg,Megaphone/SVG/ic_fluent_megaphone_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Megaphone/SVG/ic_fluent_megaphone_28_regular.svg
