category,icon_slug,size,style,file_name,relative_path,raw_url
Person Support,person_suport,32,light,ic_fluent_person_suport_32_light.svg,Person Support/SVG/ic_fluent_person_suport_32_light.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Person%20Support/SVG/ic_fluent_person_suport_32_light.svg
Person Support,person_support,16,filled,ic_fluent_person_support_16_filled.svg,Person Support/SVG/ic_fluent_person_support_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Person%20Support/SVG/ic_fluent_person_support_16_filled.svg
Person Support,person_support,16,regular,ic_fluent_person_support_16_regular.svg,Person Support/SVG/ic_fluent_person_support_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Person%20Support/SVG/ic_fluent_person_support_16_regular.svg
Person Support,person_support,20,filled,ic_fluent_person_support_20_filled.svg,Person Support/SVG/ic_fluent_person_support_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Person%20Support/SVG/ic_fluent_person_support_20_filled.svg
Person Support,person_support,20,regular,ic_fluent_person_support_20_regular.svg,Person Support/SVG/ic_fluent_person_support_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Person%20Support/SVG/ic_fluent_person_support_20_regular.svg
Person Support,person_support,24,filled,ic_fluent_person_support_24_filled.svg,Person Support/SVG/ic_fluent_person_support_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Person%20Support/SVG/ic_fluent_person_support_24_filled.svg
Person Support,person_support,24,regular,ic_fluent_person_support_24_regular.svg,Person Support/SVG/ic_fluent_person_support_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Person%20Support/SVG/ic_fluent_person_support_24_regular.svg
Person Support,person_support,28,filled,ic_fluent_person_support_28_filled.svg,Person Support/SVG/ic_fluent_person_support_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Person%20Support/SVG/ic_fluent_person_support_28_filled.svg
Person Support,person_support,28,regular,ic_fluent_person_support_28_regular.svg,Person Support/SVG/ic_fluent_person_support_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Person%20Support/SVG/ic_fluent_person_support_28_regular.svg
Person Support,person_support,32,filled,ic_fluent_person_support_32_filled.svg,Person Support/SVG/ic_fluent_person_support_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Person%20Support/SVG/ic_fluent_person_support_32_filled.svg
Person Support,person_support,32,regular,ic_fluent_person_support_32_regular.svg,Person Support/SVG/ic_fluent_person_support_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Person%20Support/SVG/ic_fluent_person_support_32_regular.svg
