category,icon_slug,size,style,file_name,relative_path,raw_url
Scan Dash,scan_dash,12,filled,ic_fluent_scan_dash_12_filled.svg,Scan Dash/SVG/ic_fluent_scan_dash_12_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Dash/SVG/ic_fluent_scan_dash_12_filled.svg
Scan Dash,scan_dash,12,regular,ic_fluent_scan_dash_12_regular.svg,Scan Dash/SVG/ic_fluent_scan_dash_12_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Dash/SVG/ic_fluent_scan_dash_12_regular.svg
Scan Dash,scan_dash,16,filled,ic_fluent_scan_dash_16_filled.svg,Scan Dash/SVG/ic_fluent_scan_dash_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Dash/SVG/ic_fluent_scan_dash_16_filled.svg
Scan Dash,scan_dash,16,regular,ic_fluent_scan_dash_16_regular.svg,Scan Dash/SVG/ic_fluent_scan_dash_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Dash/SVG/ic_fluent_scan_dash_16_regular.svg
Scan Dash,scan_dash,20,filled,ic_fluent_scan_dash_20_filled.svg,Scan Dash/SVG/ic_fluent_scan_dash_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Dash/SVG/ic_fluent_scan_dash_20_filled.svg
Scan Dash,scan_dash,20,regular,ic_fluent_scan_dash_20_regular.svg,Scan Dash/SVG/ic_fluent_scan_dash_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Dash/SVG/ic_fluent_scan_dash_20_regular.svg
Scan Dash,scan_dash,24,filled,ic_fluent_scan_dash_24_filled.svg,Scan Dash/SVG/ic_fluent_scan_dash_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Dash/SVG/ic_fluent_scan_dash_24_filled.svg
Scan Dash,scan_dash,24,regular,ic_fluent_scan_dash_24_regular.svg,Scan Dash/SVG/ic_fluent_scan_dash_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Dash/SVG/ic_fluent_scan_dash_24_regular.svg
Scan Dash,scan_dash,28,filled,ic_fluent_scan_dash_28_filled.svg,Scan Dash/SVG/ic_fluent_scan_dash_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Dash/SVG/ic_fluent_scan_dash_28_filled.svg
Scan Dash,scan_dash,28,regular,ic_fluent_scan_dash_28_regular.svg,Scan Dash/SVG/ic_fluent_scan_dash_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Dash/SVG/ic_fluent_scan_dash_28_regular.svg
Scan Dash,scan_dash,32,filled,ic_fluent_scan_dash_32_filled.svg,Scan Dash/SVG/ic_fluent_scan_dash_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Dash/SVG/ic_fluent_scan_dash_32_filled.svg
Scan Dash,scan_dash,32,regular,ic_fluent_scan_dash_32_regular.svg,Scan Dash/SVG/ic_fluent_scan_dash_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Dash/SVG/ic_fluent_scan_dash_32_regular.svg
Scan Dash,scan_dash,48,filled,ic_fluent_scan_dash_48_filled.svg,Scan Dash/SVG/ic_fluent_scan_dash_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Dash/SVG/ic_fluent_scan_dash_48_filled.svg
Scan Dash,scan_dash,48,regular,ic_fluent_scan_dash_48_regular.svg,Scan Dash/SVG/ic_fluent_scan_dash_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Dash/SVG/ic_fluent_scan_dash_48_regular.svg
