category,icon_slug,size,style,file_name,relative_path,raw_url
Scan Person,scan_person,16,color,ic_fluent_scan_person_16_color.svg,Scan Person/SVG/ic_fluent_scan_person_16_color.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Person/SVG/ic_fluent_scan_person_16_color.svg
Scan Person,scan_person,16,filled,ic_fluent_scan_person_16_filled.svg,Scan Person/SVG/ic_fluent_scan_person_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Person/SVG/ic_fluent_scan_person_16_filled.svg
Scan Person,scan_person,16,regular,ic_fluent_scan_person_16_regular.svg,Scan Person/SVG/ic_fluent_scan_person_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Person/SVG/ic_fluent_scan_person_16_regular.svg
Scan Person,scan_person,20,color,ic_fluent_scan_person_20_color.svg,Scan Person/SVG/ic_fluent_scan_person_20_color.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Person/SVG/ic_fluent_scan_person_20_color.svg
Scan Person,scan_person,20,filled,ic_fluent_scan_person_20_filled.svg,Scan Person/SVG/ic_fluent_scan_person_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Person/SVG/ic_fluent_scan_person_20_filled.svg
Scan Person,scan_person,20,regular,ic_fluent_scan_person_20_regular.svg,Scan Person/SVG/ic_fluent_scan_person_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Person/SVG/ic_fluent_scan_person_20_regular.svg
Scan Person,scan_person,24,color,ic_fluent_scan_person_24_color.svg,Scan Person/SVG/ic_fluent_scan_person_24_color.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Person/SVG/ic_fluent_scan_person_24_color.svg
Scan Person,scan_person,24,filled,ic_fluent_scan_person_24_filled.svg,Scan Person/SVG/ic_fluent_scan_person_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Person/SVG/ic_fluent_scan_person_24_filled.svg
Scan Person,scan_person,24,regular,ic_fluent_scan_person_24_regular.svg,Scan Person/SVG/ic_fluent_scan_person_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Person/SVG/ic_fluent_scan_person_24_regular.svg
Scan Person,scan_person,28,color,ic_fluent_scan_person_28_color.svg,Scan Person/SVG/ic_fluent_scan_person_28_color.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Person/SVG/ic_fluent_scan_person_28_color.svg
Scan Person,scan_person,28,filled,ic_fluent_scan_person_28_filled.svg,Scan Person/SVG/ic_fluent_scan_person_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Person/SVG/ic_fluent_scan_person_28_filled.svg
Scan Person,scan_person,28,regular,ic_fluent_scan_person_28_regular.svg,Scan Person/SVG/ic_fluent_scan_person_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Person/SVG/ic_fluent_scan_person_28_regular.svg
Scan Person,scan_person,48,color,ic_fluent_scan_person_48_color.svg,Scan Person/SVG/ic_fluent_scan_person_48_color.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Person/SVG/ic_fluent_scan_person_48_color.svg
Scan Person,scan_person,48,filled,ic_fluent_scan_person_48_filled.svg,Scan Person/SVG/ic_fluent_scan_person_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Person/SVG/ic_fluent_scan_person_48_filled.svg
Scan Person,scan_person,48,regular,ic_fluent_scan_person_48_regular.svg,Scan Person/SVG/ic_fluent_scan_person_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Scan%20Person/SVG/ic_fluent_scan_person_48_regular.svg
