category,icon_slug,size,style,file_name,relative_path,raw_url
Shield Task,shield_task,16,filled,ic_fluent_shield_task_16_filled.svg,Shield Task/SVG/ic_fluent_shield_task_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Shield%20Task/SVG/ic_fluent_shield_task_16_filled.svg
Shield Task,shield_task,16,regular,ic_fluent_shield_task_16_regular.svg,Shield Task/SVG/ic_fluent_shield_task_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Shield%20Task/SVG/ic_fluent_shield_task_16_regular.svg
Shield Task,shield_task,20,filled,ic_fluent_shield_task_20_filled.svg,Shield Task/SVG/ic_fluent_shield_task_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Shield%20Task/SVG/ic_fluent_shield_task_20_filled.svg
Shield Task,shield_task,20,regular,ic_fluent_shield_task_20_regular.svg,Shield Task/SVG/ic_fluent_shield_task_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Shield%20Task/SVG/ic_fluent_shield_task_20_regular.svg
Shield Task,shield_task,24,filled,ic_fluent_shield_task_24_filled.svg,Shield Task/SVG/ic_fluent_shield_task_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Shield%20Task/SVG/ic_fluent_shield_task_24_filled.svg
Shield Task,shield_task,24,regular,ic_fluent_shield_task_24_regular.svg,Shield Task/SVG/ic_fluent_shield_task_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Shield%20Task/SVG/ic_fluent_shield_task_24_regular.svg
Shield Task,shield_task,28,filled,ic_fluent_shield_task_28_filled.svg,Shield Task/SVG/ic_fluent_shield_task_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Shield%20Task/SVG/ic_fluent_shield_task_28_filled.svg
Shield Task,shield_task,28,regular,ic_fluent_shield_task_28_regular.svg,Shield Task/SVG/ic_fluent_shield_task_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Shield%20Task/SVG/ic_fluent_shield_task_28_regular.svg
Shield Task,shield_task,32,filled,ic_fluent_shield_task_32_filled.svg,Shield Task/SVG/ic_fluent_shield_task_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Shield%20Task/SVG/ic_fluent_shield_task_32_filled.svg
Shield Task,shield_task,32,regular,ic_fluent_shield_task_32_regular.svg,Shield Task/SVG/ic_fluent_shield_task_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Shield%20Task/SVG/ic_fluent_shield_task_32_regular.svg
Shield Task,shield_task,48,filled,ic_fluent_shield_task_48_filled.svg,Shield Task/SVG/ic_fluent_shield_task_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Shield%20Task/SVG/ic_fluent_shield_task_48_filled.svg
Shield Task,shield_task,48,regular,ic_fluent_shield_task_48_regular.svg,Shield Task/SVG/ic_fluent_shield_task_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Shield%20Task/SVG/ic_fluent_shield_task_48_regular.svg
