category,icon_slug,size,style,file_name,relative_path,raw_url
Square Hint Sparkles,square_hint_sparkles,16,filled,ic_fluent_square_hint_sparkles_16_filled.svg,Square Hint Sparkles/SVG/ic_fluent_square_hint_sparkles_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Square%20Hint%20Sparkles/SVG/ic_fluent_square_hint_sparkles_16_filled.svg
Square Hint Sparkles,square_hint_sparkles,16,regular,ic_fluent_square_hint_sparkles_16_regular.svg,Square Hint Sparkles/SVG/ic_fluent_square_hint_sparkles_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Square%20Hint%20Sparkles/SVG/ic_fluent_square_hint_sparkles_16_regular.svg
Square Hint Sparkles,square_hint_sparkles,20,filled,ic_fluent_square_hint_sparkles_20_filled.svg,Square Hint Sparkles/SVG/ic_fluent_square_hint_sparkles_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Square%20Hint%20Sparkles/SVG/ic_fluent_square_hint_sparkles_20_filled.svg
Square Hint Sparkles,square_hint_sparkles,20,regular,ic_fluent_square_hint_sparkles_20_regular.svg,Square Hint Sparkles/SVG/ic_fluent_square_hint_sparkles_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Square%20Hint%20Sparkles/SVG/ic_fluent_square_hint_sparkles_20_regular.svg
Square Hint Sparkles,square_hint_sparkles,24,filled,ic_fluent_square_hint_sparkles_24_filled.svg,Square Hint Sparkles/SVG/ic_fluent_square_hint_sparkles_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Square%20Hint%20Sparkles/SVG/ic_fluent_square_hint_sparkles_24_filled.svg
Square Hint Sparkles,square_hint_sparkles,24,regular,ic_fluent_square_hint_sparkles_24_regular.svg,Square Hint Sparkles/SVG/ic_fluent_square_hint_sparkles_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Square%20Hint%20Sparkles/SVG/ic_fluent_square_hint_sparkles_24_regular.svg
Square Hint Sparkles,square_hint_sparkles,28,filled,ic_fluent_square_hint_sparkles_28_filled.svg,Square Hint Sparkles/SVG/ic_fluent_square_hint_sparkles_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Square%20Hint%20Sparkles/SVG/ic_fluent_square_hint_sparkles_28_filled.svg
Square Hint Sparkles,square_hint_sparkles,28,regular,ic_fluent_square_hint_sparkles_28_regular.svg,Square Hint Sparkles/SVG/ic_fluent_square_hint_sparkles_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Square%20Hint%20Sparkles/SVG/ic_fluent_square_hint_sparkles_28_regular.svg
Square Hint Sparkles,square_hint_sparkles,32,filled,ic_fluent_square_hint_sparkles_32_filled.svg,Square Hint Sparkles/SVG/ic_fluent_square_hint_sparkles_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Square%20Hint%20Sparkles/SVG/ic_fluent_square_hint_sparkles_32_filled.svg
Square Hint Sparkles,square_hint_sparkles,32,regular,ic_fluent_square_hint_sparkles_32_regular.svg,Square Hint Sparkles/SVG/ic_fluent_square_hint_sparkles_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Square%20Hint%20Sparkles/SVG/ic_fluent_square_hint_sparkles_32_regular.svg
Square Hint Sparkles,square_hint_sparkles,48,filled,ic_fluent_square_hint_sparkles_48_filled.svg,Square Hint Sparkles/SVG/ic_fluent_square_hint_sparkles_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Square%20Hint%20Sparkles/SVG/ic_fluent_square_hint_sparkles_48_filled.svg
Square Hint Sparkles,square_hint_sparkles,48,regular,ic_fluent_square_hint_sparkles_48_regular.svg,Square Hint Sparkles/SVG/ic_fluent_square_hint_sparkles_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Square%20Hint%20Sparkles/SVG/ic_fluent_square_hint_sparkles_48_regular.svg
