category,icon_slug,size,style,file_name,relative_path,raw_url
Sticker,sticker,12,filled,ic_fluent_sticker_12_filled.svg,Sticker/SVG/ic_fluent_sticker_12_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Sticker/SVG/ic_fluent_sticker_12_filled.svg
Sticker,sticker,12,regular,ic_fluent_sticker_12_regular.svg,Sticker/SVG/ic_fluent_sticker_12_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Sticker/SVG/ic_fluent_sticker_12_regular.svg
Sticker,sticker,16,filled,ic_fluent_sticker_16_filled.svg,Sticker/SVG/ic_fluent_sticker_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Sticker/SVG/ic_fluent_sticker_16_filled.svg
Sticker,sticker,16,regular,ic_fluent_sticker_16_regular.svg,Sticker/SVG/ic_fluent_sticker_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Sticker/SVG/ic_fluent_sticker_16_regular.svg
Sticker,sticker,20,filled,ic_fluent_sticker_20_filled.svg,Sticker/SVG/ic_fluent_sticker_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Sticker/SVG/ic_fluent_sticker_20_filled.svg
Sticker,sticker,20,regular,ic_fluent_sticker_20_regular.svg,Sticker/SVG/ic_fluent_sticker_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Sticker/SVG/ic_fluent_sticker_20_regular.svg
Sticker,sticker,24,filled,ic_fluent_sticker_24_filled.svg,Sticker/SVG/ic_fluent_sticker_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Sticker/SVG/ic_fluent_sticker_24_filled.svg
Sticker,sticker,24,regular,ic_fluent_sticker_24_regular.svg,Sticker/SVG/ic_fluent_sticker_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Sticker/SVG/ic_fluent_sticker_24_regular.svg
Sticker,sticker,28,filled,ic_fluent_sticker_28_filled.svg,Sticker/SVG/ic_fluent_sticker_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Sticker/SVG/ic_fluent_sticker_28_filled.svg
Sticker,sticker,28,regular,ic_fluent_sticker_28_regular.svg,Sticker/SVG/ic_fluent_sticker_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Sticker/SVG/ic_fluent_sticker_28_regular.svg
Sticker,sticker,32,filled,ic_fluent_sticker_32_filled.svg,Sticker/SVG/ic_fluent_sticker_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Sticker/SVG/ic_fluent_sticker_32_filled.svg
Sticker,sticker,32,light,ic_fluent_sticker_32_light.svg,Sticker/SVG/ic_fluent_sticker_32_light.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Sticker/SVG/ic_fluent_sticker_32_light.svg
Sticker,sticker,32,regular,ic_fluent_sticker_32_regular.svg,Sticker/SVG/ic_fluent_sticker_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Sticker/SVG/ic_fluent_sticker_32_regular.svg
