category,icon_slug,size,style,file_name,relative_path,raw_url
Table Simple,table_simple,16,filled,ic_fluent_table_simple_16_filled.svg,Table Simple/SVG/ic_fluent_table_simple_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Table%20Simple/SVG/ic_fluent_table_simple_16_filled.svg
Table Simple,table_simple,16,regular,ic_fluent_table_simple_16_regular.svg,Table Simple/SVG/ic_fluent_table_simple_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Table%20Simple/SVG/ic_fluent_table_simple_16_regular.svg
Table Simple,table_simple,20,filled,ic_fluent_table_simple_20_filled.svg,Table Simple/SVG/ic_fluent_table_simple_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Table%20Simple/SVG/ic_fluent_table_simple_20_filled.svg
Table Simple,table_simple,20,regular,ic_fluent_table_simple_20_regular.svg,Table Simple/SVG/ic_fluent_table_simple_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Table%20Simple/SVG/ic_fluent_table_simple_20_regular.svg
Table Simple,table_simple,24,filled,ic_fluent_table_simple_24_filled.svg,Table Simple/SVG/ic_fluent_table_simple_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Table%20Simple/SVG/ic_fluent_table_simple_24_filled.svg
Table Simple,table_simple,24,regular,ic_fluent_table_simple_24_regular.svg,Table Simple/SVG/ic_fluent_table_simple_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Table%20Simple/SVG/ic_fluent_table_simple_24_regular.svg
Table Simple,table_simple,28,filled,ic_fluent_table_simple_28_filled.svg,Table Simple/SVG/ic_fluent_table_simple_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Table%20Simple/SVG/ic_fluent_table_simple_28_filled.svg
Table Simple,table_simple,28,regular,ic_fluent_table_simple_28_regular.svg,Table Simple/SVG/ic_fluent_table_simple_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Table%20Simple/SVG/ic_fluent_table_simple_28_regular.svg
Table Simple,table_simple,32,filled,ic_fluent_table_simple_32_filled.svg,Table Simple/SVG/ic_fluent_table_simple_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Table%20Simple/SVG/ic_fluent_table_simple_32_filled.svg
Table Simple,table_simple,32,light,ic_fluent_table_simple_32_light.svg,Table Simple/SVG/ic_fluent_table_simple_32_light.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Table%20Simple/SVG/ic_fluent_table_simple_32_light.svg
Table Simple,table_simple,32,regular,ic_fluent_table_simple_32_regular.svg,Table Simple/SVG/ic_fluent_table_simple_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Table%20Simple/SVG/ic_fluent_table_simple_32_regular.svg
Table Simple,table_simple,48,filled,ic_fluent_table_simple_48_filled.svg,Table Simple/SVG/ic_fluent_table_simple_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Table%20Simple/SVG/ic_fluent_table_simple_48_filled.svg
Table Simple,table_simple,48,regular,ic_fluent_table_simple_48_regular.svg,Table Simple/SVG/ic_fluent_table_simple_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Table%20Simple/SVG/ic_fluent_table_simple_48_regular.svg
