category,icon_slug,size,style,file_name,relative_path,raw_url
Task List Square,task_list_square_16_filled_ltr,16,,ic_fluent_task_list_square_16_filled_ltr.svg,Task List Square/SVG/ic_fluent_task_list_square_16_filled_ltr.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Task%20List%20Square/SVG/ic_fluent_task_list_square_16_filled_ltr.svg
Task List Square,task_list_square_16_filled_rtl,16,,ic_fluent_task_list_square_16_filled_rtl.svg,Task List Square/SVG/ic_fluent_task_list_square_16_filled_rtl.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Task%20List%20Square/SVG/ic_fluent_task_list_square_16_filled_rtl.svg
Task List Square,task_list_square_16_regular_ltr,16,,ic_fluent_task_list_square_16_regular_ltr.svg,Task List Square/SVG/ic_fluent_task_list_square_16_regular_ltr.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Task%20List%20Square/SVG/ic_fluent_task_list_square_16_regular_ltr.svg
Task List Square,task_list_square_16_regular_rtl,16,,ic_fluent_task_list_square_16_regular_rtl.svg,Task List Square/SVG/ic_fluent_task_list_square_16_regular_rtl.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Task%20List%20Square/SVG/ic_fluent_task_list_square_16_regular_rtl.svg
Task List Square,task_list_square_20_filled_ltr,20,,ic_fluent_task_list_square_20_filled_ltr.svg,Task List Square/SVG/ic_fluent_task_list_square_20_filled_ltr.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Task%20List%20Square/SVG/ic_fluent_task_list_square_20_filled_ltr.svg
Task List Square,task_list_square_20_filled_rtl,20,,ic_fluent_task_list_square_20_filled_rtl.svg,Task List Square/SVG/ic_fluent_task_list_square_20_filled_rtl.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Task%20List%20Square/SVG/ic_fluent_task_list_square_20_filled_rtl.svg
Task List Square,task_list_square_20_regular_ltr,20,,ic_fluent_task_list_square_20_regular_ltr.svg,Task List Square/SVG/ic_fluent_task_list_square_20_regular_ltr.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Task%20List%20Square/SVG/ic_fluent_task_list_square_20_regular_ltr.svg
Task List Square,task_list_square_20_regular_rtl,20,,ic_fluent_task_list_square_20_regular_rtl.svg,Task List Square/SVG/ic_fluent_task_list_square_20_regular_rtl.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Task%20List%20Square/SVG/ic_fluent_task_list_square_20_regular_rtl.svg
Task List Square,task_list_square_24_filled_ltr,24,,ic_fluent_task_list_square_24_filled_ltr.svg,Task List Square/SVG/ic_fluent_task_list_square_24_filled_ltr.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Task%20List%20Square/SVG/ic_fluent_task_list_square_24_filled_ltr.svg
Task List Square,task_list_square_24_filled_rtl,24,,ic_fluent_task_list_square_24_filled_rtl.svg,Task List Square/SVG/ic_fluent_task_list_square_24_filled_rtl.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Task%20List%20Square/SVG/ic_fluent_task_list_square_24_filled_rtl.svg
Task List Square,task_list_square_24_regular_ltr,24,,ic_fluent_task_list_square_24_regular_ltr.svg,Task List Square/SVG/ic_fluent_task_list_square_24_regular_ltr.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Task%20List%20Square/SVG/ic_fluent_task_list_square_24_regular_ltr.svg
Task List Square,task_list_square_24_regular_rtl,24,,ic_fluent_task_list_square_24_regular_rtl.svg,Task List Square/SVG/ic_fluent_task_list_square_24_regular_rtl.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Task%20List%20Square/SVG/ic_fluent_task_list_square_24_regular_rtl.svg
