category,icon_slug,size,style,file_name,relative_path,raw_url
Text Effects,text_effects,20,filled,ic_fluent_text_effects_20_filled.svg,Text Effects/SVG/ic_fluent_text_effects_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Text%20Effects/SVG/ic_fluent_text_effects_20_filled.svg
Text Effects,text_effects,20,regular,ic_fluent_text_effects_20_regular.svg,Text Effects/SVG/ic_fluent_text_effects_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Text%20Effects/SVG/ic_fluent_text_effects_20_regular.svg
Text Effects,text_effects,24,filled,ic_fluent_text_effects_24_filled.svg,Text Effects/SVG/ic_fluent_text_effects_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Text%20Effects/SVG/ic_fluent_text_effects_24_filled.svg
Text Effects,text_effects,24,regular,ic_fluent_text_effects_24_regular.svg,Text Effects/SVG/ic_fluent_text_effects_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Text%20Effects/SVG/ic_fluent_text_effects_24_regular.svg
Text Effects,text_effects,20,filled,ic_fluent_text_effects_20_filled.svg,Text Effects/en/SVG/ic_fluent_text_effects_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Text%20Effects/en/SVG/ic_fluent_text_effects_20_filled.svg
Text Effects,text_effects,20,regular,ic_fluent_text_effects_20_regular.svg,Text Effects/en/SVG/ic_fluent_text_effects_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Text%20Effects/en/SVG/ic_fluent_text_effects_20_regular.svg
Text Effects,text_effects,24,filled,ic_fluent_text_effects_24_filled.svg,Text Effects/en/SVG/ic_fluent_text_effects_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Text%20Effects/en/SVG/ic_fluent_text_effects_24_filled.svg
Text Effects,text_effects,24,regular,ic_fluent_text_effects_24_regular.svg,Text Effects/en/SVG/ic_fluent_text_effects_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Text%20Effects/en/SVG/ic_fluent_text_effects_24_regular.svg
Text Effects,text_effects,20,filled,ic_fluent_text_effects_20_filled.svg,Text Effects/ko/SVG/ic_fluent_text_effects_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Text%20Effects/ko/SVG/ic_fluent_text_effects_20_filled.svg
Text Effects,text_effects,20,regular,ic_fluent_text_effects_20_regular.svg,Text Effects/ko/SVG/ic_fluent_text_effects_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Text%20Effects/ko/SVG/ic_fluent_text_effects_20_regular.svg
Text Effects,text_effects,24,filled,ic_fluent_text_effects_24_filled.svg,Text Effects/ko/SVG/ic_fluent_text_effects_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Text%20Effects/ko/SVG/ic_fluent_text_effects_24_filled.svg
Text Effects,text_effects,24,regular,ic_fluent_text_effects_24_regular.svg,Text Effects/ko/SVG/ic_fluent_text_effects_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Text%20Effects/ko/SVG/ic_fluent_text_effects_24_regular.svg
