category,icon_slug,size,style,file_name,relative_path,raw_url
Video Clip,video_clip,16,filled,ic_fluent_video_clip_16_filled.svg,Video Clip/SVG/ic_fluent_video_clip_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Clip/SVG/ic_fluent_video_clip_16_filled.svg
Video Clip,video_clip,16,regular,ic_fluent_video_clip_16_regular.svg,Video Clip/SVG/ic_fluent_video_clip_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Clip/SVG/ic_fluent_video_clip_16_regular.svg
Video Clip,video_clip,20,filled,ic_fluent_video_clip_20_filled.svg,Video Clip/SVG/ic_fluent_video_clip_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Clip/SVG/ic_fluent_video_clip_20_filled.svg
Video Clip,video_clip,20,regular,ic_fluent_video_clip_20_regular.svg,Video Clip/SVG/ic_fluent_video_clip_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Clip/SVG/ic_fluent_video_clip_20_regular.svg
Video Clip,video_clip,24,filled,ic_fluent_video_clip_24_filled.svg,Video Clip/SVG/ic_fluent_video_clip_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Clip/SVG/ic_fluent_video_clip_24_filled.svg
Video Clip,video_clip,24,regular,ic_fluent_video_clip_24_regular.svg,Video Clip/SVG/ic_fluent_video_clip_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Clip/SVG/ic_fluent_video_clip_24_regular.svg
Video Clip,video_clip,28,filled,ic_fluent_video_clip_28_filled.svg,Video Clip/SVG/ic_fluent_video_clip_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Clip/SVG/ic_fluent_video_clip_28_filled.svg
Video Clip,video_clip,28,regular,ic_fluent_video_clip_28_regular.svg,Video Clip/SVG/ic_fluent_video_clip_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Clip/SVG/ic_fluent_video_clip_28_regular.svg
Video Clip,video_clip,32,filled,ic_fluent_video_clip_32_filled.svg,Video Clip/SVG/ic_fluent_video_clip_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Clip/SVG/ic_fluent_video_clip_32_filled.svg
Video Clip,video_clip,32,light,ic_fluent_video_clip_32_light.svg,Video Clip/SVG/ic_fluent_video_clip_32_light.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Clip/SVG/ic_fluent_video_clip_32_light.svg
Video Clip,video_clip,32,regular,ic_fluent_video_clip_32_regular.svg,Video Clip/SVG/ic_fluent_video_clip_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Clip/SVG/ic_fluent_video_clip_32_regular.svg
Video Clip,video_clip,48,filled,ic_fluent_video_clip_48_filled.svg,Video Clip/SVG/ic_fluent_video_clip_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Clip/SVG/ic_fluent_video_clip_48_filled.svg
Video Clip,video_clip,48,regular,ic_fluent_video_clip_48_regular.svg,Video Clip/SVG/ic_fluent_video_clip_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Clip/SVG/ic_fluent_video_clip_48_regular.svg
