category,icon_slug,size,style,file_name,relative_path,raw_url
Video Multiple,video_multiple,16,filled,ic_fluent_video_multiple_16_filled.svg,Video Multiple/SVG/ic_fluent_video_multiple_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Multiple/SVG/ic_fluent_video_multiple_16_filled.svg
Video Multiple,video_multiple,16,regular,ic_fluent_video_multiple_16_regular.svg,Video Multiple/SVG/ic_fluent_video_multiple_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Multiple/SVG/ic_fluent_video_multiple_16_regular.svg
Video Multiple,video_multiple,20,filled,ic_fluent_video_multiple_20_filled.svg,Video Multiple/SVG/ic_fluent_video_multiple_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Multiple/SVG/ic_fluent_video_multiple_20_filled.svg
Video Multiple,video_multiple,20,regular,ic_fluent_video_multiple_20_regular.svg,Video Multiple/SVG/ic_fluent_video_multiple_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Multiple/SVG/ic_fluent_video_multiple_20_regular.svg
Video Multiple,video_multiple,24,filled,ic_fluent_video_multiple_24_filled.svg,Video Multiple/SVG/ic_fluent_video_multiple_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Multiple/SVG/ic_fluent_video_multiple_24_filled.svg
Video Multiple,video_multiple,24,regular,ic_fluent_video_multiple_24_regular.svg,Video Multiple/SVG/ic_fluent_video_multiple_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Multiple/SVG/ic_fluent_video_multiple_24_regular.svg
Video Multiple,video_multiple,28,filled,ic_fluent_video_multiple_28_filled.svg,Video Multiple/SVG/ic_fluent_video_multiple_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Multiple/SVG/ic_fluent_video_multiple_28_filled.svg
Video Multiple,video_multiple,28,regular,ic_fluent_video_multiple_28_regular.svg,Video Multiple/SVG/ic_fluent_video_multiple_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Multiple/SVG/ic_fluent_video_multiple_28_regular.svg
Video Multiple,video_multiple,32,filled,ic_fluent_video_multiple_32_filled.svg,Video Multiple/SVG/ic_fluent_video_multiple_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Multiple/SVG/ic_fluent_video_multiple_32_filled.svg
Video Multiple,video_multiple,32,regular,ic_fluent_video_multiple_32_regular.svg,Video Multiple/SVG/ic_fluent_video_multiple_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Multiple/SVG/ic_fluent_video_multiple_32_regular.svg
Video Multiple,video_multiple,48,filled,ic_fluent_video_multiple_48_filled.svg,Video Multiple/SVG/ic_fluent_video_multiple_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Multiple/SVG/ic_fluent_video_multiple_48_filled.svg
Video Multiple,video_multiple,48,regular,ic_fluent_video_multiple_48_regular.svg,Video Multiple/SVG/ic_fluent_video_multiple_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Video%20Multiple/SVG/ic_fluent_video_multiple_48_regular.svg
